,Class,F1 score,Accuracy,Precision,Recall,Specificity
0,"tench, Tinca tinca",0.96,0.96,0.96,0.96,0.99995995
1,"goldfish, Carassius auratus",0.875,0.84,0.9130435,0.84,0.9999199
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.8125,0.78,0.84782606,0.78,0.99985987
3,"tiger shark, Galeocerdo cuvieri",0.74999994,0.78,0.7222222,0.78,0.9996997
4,"hammerhead, hammerhead shark",0.7924529,0.84,0.75,0.84,0.99971974
5,"electric ray, crampfish, numbfish, torpedo",0.71559626,0.78,0.66101694,0.78,0.9995996
6,stingray,0.76595753,0.72,0.8181818,0.72,0.99983984
7,cock,0.78160924,0.68,0.9189189,0.68,0.9999399
8,hen,0.79611653,0.82,0.7735849,0.82,0.99975973
9,"ostrich, Struthio camelus",0.98039216,1.0,0.96153843,1.0,0.99995995
10,"brambling, Fringilla montifringilla",0.8269231,0.86,0.7962963,0.86,0.99977976
11,"goldfinch, Carduelis carduelis",0.9292929,0.92,0.93877554,0.92,0.9999399
12,"house finch, linnet, Carpodacus mexicanus",0.8910891,0.9,0.88235295,0.9,0.9998799
13,"junco, snowbird",0.93333334,0.98,0.8909091,0.98,0.9998799
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.9215687,0.94,0.90384614,0.94,0.9998999
15,"robin, American robin, Turdus migratorius",0.89795923,0.88,0.9166667,0.88,0.9999199
16,bulbul,0.9375,0.9,0.9782609,0.9,0.99998
17,jay,0.94,0.94,0.94,0.94,0.9999399
18,magpie,0.9148936,0.86,0.97727275,0.86,0.99998
19,chickadee,0.9591837,0.94,0.9791667,0.94,0.99998
20,"water ouzel, dipper",0.8659794,0.84,0.89361703,0.84,0.9998999
21,kite,0.78846157,0.82,0.7592593,0.82,0.99973977
22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.9320388,0.96,0.9056604,0.96,0.9998999
23,vulture,0.9056604,0.96,0.85714287,0.96,0.99983984
24,"great grey owl, great gray owl, Strix nebulosa",0.989899,0.98,1.0,0.98,1.0
25,"European fire salamander, Salamandra salamandra",0.9591837,0.94,0.9791667,0.94,0.99998
26,"common newt, Triturus vulgaris",0.6111111,0.66,0.5689655,0.66,0.9994995
27,eft,0.80851066,0.76,0.8636364,0.76,0.9998799
28,"spotted salamander, Ambystoma maculatum",0.81632656,0.8,0.8333333,0.8,0.99983984
29,"axolotl, mud puppy, Ambystoma mexicanum",0.8888889,0.88,0.8979592,0.88,0.9998999
30,"bullfrog, Rana catesbeiana",0.70967746,0.66,0.76744187,0.66,0.9997998
31,"tree frog, tree-frog",0.8041237,0.78,0.82978725,0.78,0.99983984
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.51785713,0.58,0.46774194,0.58,0.99933934
33,"loggerhead, loggerhead turtle, Caretta caretta",0.7636364,0.84,0.7,0.84,0.99963963
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.6966292,0.62,0.7948718,0.62,0.99983984
35,mud turtle,0.60784316,0.62,0.59615386,0.62,0.9995796
36,terrapin,0.5744681,0.54,0.6136364,0.54,0.99965966
37,"box turtle, box tortoise",0.76,0.76,0.76,0.76,0.99975973
38,banded gecko,0.82828283,0.82,0.8367347,0.82,0.99983984
39,"common iguana, iguana, Iguana iguana",0.78787875,0.78,0.79591835,0.78,0.9997998
40,"American chameleon, anole, Anolis carolinensis",0.5981308,0.64,0.5614035,0.64,0.9994995
41,"whiptail, whiptail lizard",0.78899086,0.86,0.7288136,0.86,0.9996797
42,agama,0.71999997,0.72,0.72,0.72,0.99971974
43,"frilled lizard, Chlamydosaurus kingi",0.8712871,0.88,0.8627451,0.88,0.99985987
44,alligator lizard,0.6593407,0.6,0.73170733,0.6,0.99977976
45,"Gila monster, Heloderma suspectum",0.8181819,0.72,0.94736844,0.72,0.99995995
46,"green lizard, Lacerta viridis",0.42857143,0.36,0.5294118,0.36,0.9996797
47,"African chameleon, Chamaeleo chamaeleon",0.82,0.82,0.82,0.82,0.9998198
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",0.9108911,0.92,0.9019608,0.92,0.9998999
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.7070707,0.7,0.71428573,0.7,0.99971974
50,"American alligator, Alligator mississipiensis",0.73170733,0.6,0.9375,0.6,0.99995995
51,triceratops,0.9072165,0.88,0.9361702,0.88,0.9999399
52,"thunder snake, worm snake, Carphophis amoenus",0.71929824,0.82,0.640625,0.82,0.99953955
53,"ringneck snake, ring-necked snake, ring snake",0.7850467,0.84,0.7368421,0.84,0.9996997
54,"hognose snake, puff adder, sand viper",0.6823529,0.58,0.82857144,0.58,0.9998799
55,"green snake, grass snake",0.5641026,0.44,0.78571427,0.44,0.9998799
56,"king snake, kingsnake",0.83146065,0.74,0.94871795,0.74,0.99995995
57,"garter snake, grass snake",0.82474226,0.8,0.85106385,0.8,0.99985987
58,water snake,0.6,0.6,0.6,0.6,0.9995996
59,vine snake,0.7058824,0.72,0.6923077,0.72,0.9996797
60,"night snake, Hypsiglena torquata",0.33333334,0.3,0.375,0.3,0.9994995
61,"boa constrictor, Constrictor constrictor",0.79999995,0.76,0.84444445,0.76,0.99985987
62,"rock python, rock snake, Python sebae",0.6373626,0.58,0.70731705,0.58,0.99975973
63,"Indian cobra, Naja naja",0.7692308,0.8,0.7407407,0.8,0.99971974
64,green mamba,0.64912283,0.74,0.578125,0.74,0.99945945
65,sea snake,0.7916667,0.76,0.82608694,0.76,0.99983984
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.5423729,0.64,0.47058824,0.64,0.99927926
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.6363636,0.56,0.7368421,0.56,0.9997998
68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.35955054,0.32,0.41025642,0.32,0.99953955
69,trilobite,0.8888889,0.96,0.82758623,0.96,0.9997998
70,"harvestman, daddy longlegs, Phalangium opilio",0.776699,0.8,0.754717,0.8,0.99973977
71,scorpion,0.7924529,0.84,0.75,0.84,0.99971974
72,"black and gold garden spider, Argiope aurantia",0.81415933,0.92,0.73015875,0.92,0.99965966
73,"barn spider, Araneus cavaticus",0.5396825,0.68,0.4473684,0.68,0.99915916
74,"garden spider, Aranea diademata",0.5432099,0.44,0.7096774,0.44,0.9998198
75,"black widow, Latrodectus mactans",0.84112155,0.9,0.7894737,0.9,0.99975973
76,tarantula,0.9306931,0.94,0.92156863,0.94,0.9999199
77,"wolf spider, hunting spider",0.5806452,0.54,0.627907,0.54,0.9996797
78,tick,0.72222215,0.78,0.67241377,0.78,0.9996196
79,centipede,0.7916667,0.76,0.82608694,0.76,0.99983984
80,black grouse,0.88,0.88,0.88,0.88,0.9998799
81,ptarmigan,0.8125,0.78,0.84782606,0.78,0.99985987
82,"ruffed grouse, partridge, Bonasa umbellus",0.82568806,0.9,0.7627119,0.9,0.99971974
83,"prairie chicken, prairie grouse, prairie fowl",0.86,0.86,0.86,0.86,0.99985987
84,peacock,0.9010989,0.82,1.0,0.82,1.0
85,quail,0.89795923,0.88,0.9166667,0.88,0.9999199
86,partridge,0.78846157,0.82,0.7592593,0.82,0.99973977
87,"African grey, African gray, Psittacus erithacus",0.9583333,0.92,1.0,0.92,1.0
88,macaw,0.9411765,0.96,0.9230769,0.96,0.9999199
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.875,0.84,0.9130435,0.84,0.9999199
90,lorikeet,0.97029704,0.98,0.9607843,0.98,0.99995995
91,coucal,0.8888889,0.88,0.8979592,0.88,0.9998999
92,bee eater,0.9494949,0.94,0.9591837,0.94,0.99995995
93,hornbill,0.927835,0.9,0.9574468,0.9,0.99995995
94,hummingbird,0.89795923,0.88,0.9166667,0.88,0.9999199
95,jacamar,0.8598131,0.92,0.80701756,0.92,0.99977976
96,toucan,0.9072165,0.88,0.9361702,0.88,0.9999399
97,drake,0.84444445,0.76,0.95,0.76,0.99995995
98,"red-breasted merganser, Mergus serrator",0.8712871,0.88,0.8627451,0.88,0.99985987
99,goose,0.75,0.72,0.7826087,0.72,0.9997998
100,"black swan, Cygnus atratus",0.96,0.96,0.96,0.96,0.99995995
101,tusker,0.57391304,0.66,0.50769234,0.66,0.99935937
102,"echidna, spiny anteater, anteater",0.96969694,0.96,0.97959185,0.96,0.99998
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.77358484,0.82,0.73214287,0.82,0.9996997
104,"wallaby, brush kangaroo",0.85106385,0.8,0.90909094,0.8,0.9999199
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.886598,0.86,0.9148936,0.86,0.9999199
106,wombat,0.78723407,0.74,0.84090906,0.74,0.99985987
107,jellyfish,0.8627451,0.88,0.84615386,0.88,0.99983984
108,"sea anemone, anemone",0.74999994,0.66,0.8684211,0.66,0.9998999
109,brain coral,0.8653845,0.9,0.8333333,0.9,0.9998198
110,"flatworm, platyhelminth",0.8431373,0.86,0.8269231,0.86,0.9998198
111,"nematode, nematode worm, roundworm",0.9215687,0.94,0.90384614,0.94,0.9998999
112,conch,0.8041237,0.78,0.82978725,0.78,0.99983984
113,snail,0.80808085,0.8,0.81632656,0.8,0.9998198
114,slug,0.7628866,0.74,0.78723407,0.74,0.9997998
115,"sea slug, nudibranch",0.79591835,0.78,0.8125,0.78,0.9998198
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.8484848,0.84,0.85714287,0.84,0.99985987
117,"chambered nautilus, pearly nautilus, nautilus",0.9148936,0.86,0.97727275,0.86,0.99998
118,"Dungeness crab, Cancer magister",0.7799999,0.78,0.78,0.78,0.99977976
119,"rock crab, Cancer irroratus",0.57407403,0.62,0.5344828,0.62,0.99945945
120,fiddler crab,0.7422681,0.72,0.7659575,0.72,0.99977976
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.80808085,0.8,0.81632656,0.8,0.9998198
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.8543689,0.88,0.8301887,0.88,0.9998198
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.82608694,0.76,0.9047619,0.76,0.9999199
124,"crayfish, crawfish, crawdad, crawdaddy",0.70454544,0.62,0.81578946,0.62,0.99985987
125,hermit crab,0.8,0.84,0.76363635,0.84,0.99973977
126,isopod,0.7551021,0.74,0.7708333,0.74,0.99977976
127,"white stork, Ciconia ciconia",0.9166666,0.88,0.95652175,0.88,0.99995995
128,"black stork, Ciconia nigra",0.77777773,0.84,0.7241379,0.84,0.9996797
129,spoonbill,0.9607843,0.98,0.9423077,0.98,0.9999399
130,flamingo,0.9591837,0.94,0.9791667,0.94,0.99998
131,"little blue heron, Egretta caerulea",0.89795923,0.88,0.9166667,0.88,0.9999199
132,"American egret, great white heron, Egretta albus",0.8495575,0.96,0.7619048,0.96,0.9996997
133,bittern,0.927835,0.9,0.9574468,0.9,0.99995995
134,crane,0.78571427,0.66,0.9705882,0.66,0.99998
135,"limpkin, Aramus pictus",0.98039216,1.0,0.96153843,1.0,0.99995995
136,"European gallinule, Porphyrio porphyrio",0.9306931,0.94,0.92156863,0.94,0.9999199
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",0.9292929,0.92,0.93877554,0.92,0.9999399
138,bustard,0.94,0.94,0.94,0.94,0.9999399
139,"ruddy turnstone, Arenaria interpres",0.9423077,0.98,0.9074074,0.98,0.9998999
140,"red-backed sandpiper, dunlin, Erolia alpina",0.84,0.84,0.84,0.84,0.99983984
141,"redshank, Tringa totanus",0.9166666,0.88,0.95652175,0.88,0.99995995
142,dowitcher,0.8888889,0.88,0.8979592,0.88,0.9998999
143,"oystercatcher, oyster catcher",0.9,0.9,0.9,0.9,0.9998999
144,pelican,0.8823529,0.9,0.86538464,0.9,0.99985987
145,"king penguin, Aptenodytes patagonica",0.9473684,0.9,1.0,0.9,1.0
146,"albatross, mollymawk",0.9019608,0.92,0.88461536,0.92,0.9998799
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.8910891,0.9,0.88235295,0.9,0.9998799
